agency_id,route_id,shape_id,stop_sequence,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,arrival_offset,departure_offset,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
cr_transit,R03,S03,48,,5265 Rockwell Dr (Trapeze),concrete pad,42.03298648,-91.64929576,,,,,,,,,,,,
cr_transit,R03,S03,49,,Rockwell Dr & Rockwell Inventory Disposal,"grass, no sidewalk",42.03142393,-91.64921718,,,,,,,,,,,,
cr_transit,R03,S03,50,,Rockwell stop #1 (Rockwell Fitness Center),"grass, no sidewalk",42.03079241,-91.6468866,,,,,,,,,,,,
cr_transit,R03,S03,51,,Rockwell stop #2 (intersection with F Ave extension),concrete pad,42.03076802,-91.64362571,,,,,,,,,,,,
cr_transit,R03,S03,52,,F Ave & Gateway St,"grass, no sidewalk",42.02697612,-91.64354273,,,,,,,,,,,,
cr_transit,R03,S03,53,,F Ave & Old Marion Rd,corner sidewalk,42.02491764,-91.64354454,,,,,,,,,,,,
cr_transit,R03,S03,54,,F Ave & 43rd St,"grass, no sidewalk",42.02263638,-91.6436094,,,,,,,,,,,,
cr_transit,R03,S03,55,,42nd St & E Ave,"grass, no sidewalk",42.02137145,-91.64108025,,,,,,,0:30:00,0:30:00,,,,
cr_transit,R03,S03,56,,E Ave & 40th St,"grass, no sidewalk",42.01973988,-91.64106527,,,,,,,,,,,,
cr_transit,R03,S03,57,,E Ave & 38th St,corner sidewalk,42.01741848,-91.64107063,,,,,,,,,,,,
cr_transit,R03,S03,58,,E Ave & 37th St,corner sidewalk,42.01560015,-91.64114529,,,,,,,,,,,,
cr_transit,R03,S03,59,,E Ave & 35th St,corner sidewalk,42.0137808,-91.64115687,,,,,,,,,,,,
cr_transit,R03,S03,60,,E Ave & 33rd St,corner sidewalk,42.01130192,-91.6411248,,,,,,,,,,,,
cr_transit,R03,S03,61,,Lindale Ave & 32nd St (far-side),grass to sidewalk,42.00937538,-91.64212686,,,,,,,,,,,,
cr_transit,R03,S03,62,,Lindale Ave & Tiffany Dr,grass to sidewalk,42.00830071,-91.64211206,,,,,,,,,,,,
cr_transit,R03,S03,63,,Lindale Ave & 29th St,"grass, no sidewalk",42.00648625,-91.6420726,,,,,,,,,,,,
cr_transit,R03,S03,64,,Lindale Ave & 27th St,"grass, no sidewalk",42.00496022,-91.64200914,,,,,,,,,,,,
cr_transit,R03,S03,65,,Franklin Ave & 25th St,grass to sidewalk,42.00375091,-91.64294316,,,,,,,,,,,,
