stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
556,,42nd St & Wenig Rd (far-side) (Kennedy H.S.),grass to sidewalk,42.021786,-91.680492,,,,,,
557,,42nd St across from Falbrook Dr,grass to sidewalk,42.021787,-91.683455,,,,,,
558,,42nd St & Westchester Dr,grass to sidewalk,42.021959,-91.686670,,,,,,
559,,42nd St & Pine View Dr,grass to sidewalk,42.021948,-91.689317,,,,,,
560,,42nd St across from Blue Jay Dr (Fire Station),grass to sidewalk,42.021783,-91.692934,,,,,,
561,,42nd St across from Lexington Blvd,concrete pad,42.021778,-91.695505,,,,,,
562,,Transamerica shelter,concrete pad,42.024201,-91.704305,,,,,,
563,,4515 North River Blvd (parking lot entrance),concrete pad,42.025912,-91.705631,,,,,,
564,,4515 North River Blvd (driveway),concrete pad,42.027686,-91.706214,,,,,,
565,,4425 North River Blvd (driveway),grass to sidewalk,42.026319,-91.703698,,,,,,
566,,42nd St & River Ridge Dr,grass to sidewalk,42.021467,-91.700059,,,,,,
567,,42nd St & Lexington Blvd,grass to sidewalk,42.021523,-91.695780,,,,,,
568,,42nd St & Blue Jay Dr (Parks Dept),corner sidewalk,42.021510,-91.692756,,,,,,
569,,42nd St & Lark Ct,grass to sidewalk,42.021539,-91.690155,,,,,,
570,,42nd St & Sally Dr,grass to sidewalk,42.021546,-91.687296,,,,,,
571,,42nd St & Falbrook Dr,corner sidewalk,42.021539,-91.683563,,,,,,
572,,42nd St & Wenig Rd,grass to sidewalk,42.021587,-91.679607,,,,,,
573,,42nd St & Meadow Ln,grass to sidewalk,42.021530,-91.677033,,,,,,
574,,42nd St & Northwood Dr,grass to sidewalk,42.021540,-91.674887,,,,,,
575,,2057 42nd St,grass to sidewalk,42.021500,-91.670339,,,,,,
576,,42nd St & Center Point Rd,concrete pad,42.021343,-91.665577,,,,,,
577,,1625 42nd St (The Pointe Apartments),concrete pad,42.021389,-91.663042,,,,,,
578,,42nd St & Council St,corner sidewalk,42.021203,-91.658286,,,,,,
579,,42nd St & Richmond Rd,grass to sidewalk,42.021139,-91.655811,,,,,,
580,,42nd St & Golf St,corner sidewalk,42.021064,-91.653385,,,,,,
581,,Oakland Rd & Miami Dr,grass to sidewalk,42.018033,-91.654512,,,,,,
582,,Oakland Rd & Hollywood Blvd crosswalk,crosswalk,42.015663,-91.655732,,,,,,
583,,35th St & Oakland Rd (far-side),"grass, no sidewalk",42.013953,-91.656115,,,,,,
584,,35th St & Prairie Dr,"grass, no sidewalk",42.013795,-91.652630,,,,,,
585,,Prairie Dr & Center St,"grass, no sidewalk",42.012263,-91.652621,,,,,,
586,,Prairie Dr & 32nd St,"grass, no sidewalk",42.010424,-91.652586,,,,,,
587,,Prairie Dr & 30th St,"grass, no sidewalk",42.008621,-91.653085,,,,,,
588,,Prairie Dr & 29th St,"grass, no sidewalk",42.006770,-91.653140,,,,,,
589,,Prairie Dr & 27th St,"grass, no sidewalk",42.005127,-91.652884,,,,,,
590,,27th St & Elmhurst Dr,"grass, no sidewalk",42.004530,-91.654480,,,,,,
591,,Elmhurst Dr & Hazel Dr (north intersection),grass to sidewalk,42.002764,-91.655293,,,,,,
592,,Elmhurst Dr & K Ave,grass to sidewalk,42.000485,-91.654695,,,,,,
593,,Elmhurst Dr & J Ave,corner sidewalk,41.999503,-91.654457,,,,,,
594,,17th St & I Ave,corner sidewalk,41.997509,-91.654413,,,,,,
595,,17th St & F Ave,grass to sidewalk,41.995371,-91.653898,,,,,,
596,,17th St & D Ave,corner sidewalk,41.993748,-91.652199,,,,,,
597,,17th St & B Ave,corner sidewalk,41.992087,-91.650541,,,,,,
598,,B Ave & 16th St,corner sidewalk,41.991206,-91.651993,,,,,,
599,,B Ave & 15th St,corner sidewalk,41.990049,-91.654009,,,,,,
600,,15th St & 1st Ave,corner sidewalk,41.988212,-91.652540,,,,,,
601,,15th St & 2nd Ave,corner sidewalk,41.987295,-91.651627,,,,,,
602,,15th St & Bever Ave,corner sidewalk,41.984863,-91.650616,,,,,,
603,,4th Ave & 14th St,corner sidewalk,41.983839,-91.652537,,,,,,
604,,4th Ave & 12th St,grass to sidewalk,41.982502,-91.655206,,,,,,
605,,1st Ave & RR tracks,concrete pad,41.979824,-91.666459,,,,,,
